Sample,Percent_in_exons,Percent_near_exons,Percent_off_target_exons,Percent_on_target2X,Percent_near_target2X,Percent_off_target2X,Percent_on_target7X,Percent_near_target7X,Percent_off_target7X,Percent_on_target12X,Percent_near_target12X,Percent_off_target12X
capture1_b1,0.48,0.1,0.42,0.47,0.14,0.4,0.46,0.14,0.4,0.46,0.13,0.41
capture1_b2,0.47,0.1,0.43,0.46,0.14,0.4,0.46,0.14,0.41,0.45,0.14,0.42
capture1_g1,0.48,0.1,0.42,0.47,0.14,0.4,0.46,0.14,0.4,0.46,0.13,0.41
capture1_g7,0.48,0.1,0.43,0.47,0.14,0.39,0.47,0.14,0.4,0.46,0.14,0.41
capture1_k1,0.45,0.1,0.44,0.44,0.15,0.41,0.44,0.14,0.42,0.43,0.14,0.43
capture1_k3,0.44,0.1,0.46,0.43,0.15,0.42,0.43,0.15,0.42,0.42,0.15,0.44
capture1_m5,0.35,0.11,0.54,0.35,0.17,0.49,0.34,0.16,0.5,0.33,0.16,0.51
capture1_m7,0.37,0.11,0.52,0.37,0.16,0.47,0.36,0.16,0.48,0.36,0.15,0.49
capture1_n1,0.43,0.11,0.46,0.42,0.15,0.43,0.42,0.15,0.43,0.41,0.15,0.44
capture1_n2,0.47,0.1,0.43,0.46,0.15,0.4,0.46,0.14,0.4,0.45,0.14,0.41
capture4_b1,0.47,0.1,0.44,0.46,0.14,0.4,0.46,0.14,0.41,0.45,0.13,0.42
capture4_b2,0.48,0.1,0.43,0.47,0.14,0.39,0.47,0.14,0.4,0.46,0.13,0.41
capture4_g1,0.48,0.1,0.42,0.47,0.14,0.39,0.47,0.13,0.4,0.46,0.13,0.41
capture4_g7,0.46,0.1,0.44,0.46,0.14,0.4,0.45,0.14,0.41,0.45,0.14,0.42
capture4_k1,0.49,0.1,0.42,0.48,0.14,0.38,0.47,0.14,0.39,0.47,0.14,0.4
capture4_k3,0.46,0.1,0.45,0.45,0.15,0.4,0.45,0.14,0.41,0.44,0.14,0.42
capture4_m5,0.41,0.1,0.49,0.41,0.15,0.44,0.4,0.15,0.45,0.4,0.14,0.46
capture4_m7,0.4,0.1,0.5,0.39,0.15,0.45,0.39,0.15,0.46,0.38,0.15,0.47
capture4_n1,0.43,0.11,0.47,0.42,0.15,0.43,0.42,0.15,0.43,0.41,0.15,0.44
capture4_n2,0.43,0.1,0.47,0.43,0.15,0.42,0.43,0.15,0.43,0.42,0.14,0.44
capture7_b1,0.42,0.1,0.48,0.41,0.15,0.44,0.41,0.15,0.45,0.4,0.14,0.46
capture7_b2,0.46,0.1,0.45,0.45,0.14,0.41,0.45,0.14,0.41,0.44,0.14,0.42
capture7_g1,0.47,0.1,0.43,0.46,0.15,0.39,0.46,0.14,0.4,0.45,0.14,0.41
capture7_g7,0.45,0.1,0.45,0.44,0.14,0.42,0.44,0.14,0.43,0.43,0.13,0.44
capture7_k1,0.47,0.1,0.43,0.47,0.14,0.39,0.46,0.14,0.39,0.46,0.14,0.4
capture7_k3,0.48,0.1,0.42,0.48,0.14,0.38,0.47,0.14,0.39,0.47,0.14,0.4
capture7_m5,0.48,0.1,0.43,0.47,0.14,0.39,0.46,0.14,0.4,0.46,0.14,0.41
capture7_m7,0.41,0.11,0.49,0.4,0.16,0.44,0.4,0.15,0.45,0.39,0.15,0.46
capture7_n1,0.36,0.11,0.53,0.36,0.17,0.48,0.36,0.16,0.48,0.35,0.16,0.5
capture7_n2,0.37,0.11,0.52,0.37,0.17,0.47,0.36,0.16,0.48,0.35,0.16,0.49
capture10_b10,0.48,0.1,0.42,0.47,0.15,0.39,0.47,0.14,0.39,0.46,0.14,0.4
capture10_b1,0.54,0.1,0.36,0.52,0.14,0.34,0.52,0.13,0.35,0.51,0.13,0.36
capture10_b2,0.38,0.11,0.51,0.38,0.17,0.46,0.37,0.16,0.47,0.36,0.16,0.48
capture10_b6,0.38,0.11,0.51,0.37,0.17,0.46,0.37,0.17,0.47,0.36,0.16,0.48
capture10_b7,0.47,0.11,0.42,0.46,0.15,0.39,0.46,0.15,0.4,0.45,0.14,0.41
capture10_g1,0.47,0.1,0.43,0.46,0.15,0.4,0.45,0.14,0.4,0.45,0.14,0.41
capture10_g5,0.51,0.1,0.4,0.5,0.14,0.37,0.5,0.14,0.37,0.49,0.13,0.38
capture10_g6,0.5,0.1,0.4,0.49,0.14,0.38,0.48,0.13,0.38,0.48,0.13,0.39
capture10_g7,0.51,0.1,0.39,0.5,0.14,0.36,0.5,0.14,0.36,0.49,0.14,0.37
capture10_g8,0.52,0.09,0.39,0.51,0.13,0.36,0.51,0.13,0.37,0.5,0.12,0.38
capture10_k1,0.5,0.1,0.4,0.49,0.14,0.37,0.48,0.14,0.38,0.48,0.14,0.39
capture10_k2,0.4,0.11,0.49,0.39,0.17,0.44,0.39,0.16,0.45,0.38,0.16,0.46
capture10_k3,0.51,0.1,0.4,0.5,0.14,0.36,0.5,0.14,0.37,0.49,0.14,0.37
capture10_k5,0.45,0.11,0.44,0.44,0.16,0.4,0.44,0.15,0.41,0.43,0.15,0.42
capture10_k8,0.38,0.11,0.51,0.37,0.17,0.46,0.37,0.16,0.47,0.36,0.16,0.48
capture10_m1,0.48,0.11,0.41,0.48,0.15,0.38,0.47,0.15,0.38,0.47,0.14,0.39
capture10_m3,0.52,0.1,0.39,0.51,0.14,0.36,0.5,0.13,0.36,0.5,0.13,0.37
capture10_m5,0.46,0.11,0.43,0.45,0.15,0.4,0.45,0.15,0.41,0.44,0.14,0.42
capture10_m7,0.52,0.09,0.38,0.51,0.13,0.36,0.51,0.13,0.37,0.5,0.12,0.37
capture10_m9,0.51,0.1,0.39,0.5,0.14,0.36,0.5,0.14,0.36,0.49,0.14,0.37
capture10_n1,0.52,0.1,0.38,0.51,0.14,0.35,0.51,0.14,0.36,0.5,0.13,0.36
capture10_n2,0.5,0.1,0.4,0.49,0.15,0.36,0.49,0.14,0.37,0.49,0.14,0.38
capture10_n3,0.52,0.1,0.38,0.51,0.14,0.35,0.51,0.14,0.36,0.5,0.14,0.36
capture10_n4,0.49,0.1,0.41,0.48,0.15,0.37,0.48,0.15,0.38,0.47,0.14,0.39
capture10_n5,0.51,0.1,0.39,0.5,0.14,0.36,0.49,0.14,0.37,0.49,0.14,0.38
capture13_b10,0.46,0.1,0.43,0.46,0.15,0.4,0.45,0.15,0.4,0.45,0.14,0.41
capture13_b1,0.51,0.1,0.39,0.5,0.14,0.36,0.5,0.14,0.36,0.49,0.13,0.37
capture13_b2,0.39,0.11,0.5,0.38,0.16,0.45,0.38,0.16,0.46,0.37,0.16,0.47
capture13_b6,0.38,0.11,0.51,0.38,0.16,0.46,0.37,0.16,0.47,0.36,0.16,0.48
capture13_b7,0.46,0.11,0.44,0.45,0.15,0.4,0.45,0.15,0.41,0.44,0.15,0.42
capture13_g1,0.45,0.11,0.44,0.45,0.15,0.4,0.44,0.15,0.41,0.44,0.15,0.42
capture13_g5,0.49,0.1,0.42,0.48,0.14,0.38,0.48,0.14,0.38,0.47,0.14,0.39
capture13_g6,0.5,0.1,0.41,0.49,0.14,0.38,0.48,0.13,0.38,0.48,0.13,0.39
capture13_g7,0.49,0.1,0.41,0.48,0.15,0.37,0.48,0.14,0.38,0.47,0.14,0.39
capture13_g8,0.5,0.09,0.41,0.49,0.13,0.37,0.49,0.13,0.38,0.48,0.13,0.39
capture13_k1,0.48,0.1,0.41,0.48,0.15,0.38,0.47,0.15,0.38,0.47,0.14,0.39
capture13_k2,0.4,0.11,0.49,0.4,0.16,0.44,0.39,0.16,0.45,0.39,0.16,0.46
capture13_k3,0.48,0.1,0.42,0.48,0.15,0.38,0.47,0.15,0.38,0.47,0.14,0.39
capture13_k5,0.46,0.11,0.43,0.45,0.16,0.39,0.45,0.15,0.4,0.44,0.15,0.41
capture13_k8,0.38,0.11,0.51,0.38,0.17,0.45,0.38,0.16,0.46,0.37,0.16,0.48
capture13_m1,0.46,0.11,0.43,0.46,0.15,0.39,0.45,0.15,0.4,0.45,0.15,0.41
capture13_m3,0.48,0.11,0.41,0.48,0.15,0.37,0.47,0.15,0.38,0.47,0.14,0.39
capture13_m5,0.45,0.11,0.45,0.44,0.15,0.41,0.44,0.15,0.41,0.43,0.15,0.42
capture13_m7,0.49,0.1,0.41,0.48,0.15,0.38,0.48,0.14,0.38,0.47,0.14,0.39
capture13_m9,0.49,0.1,0.41,0.49,0.14,0.37,0.48,0.14,0.38,0.48,0.14,0.39
capture13_n1,0.51,0.1,0.39,0.5,0.14,0.36,0.49,0.14,0.37,0.49,0.14,0.38
capture13_n2,0.49,0.1,0.41,0.49,0.15,0.37,0.48,0.14,0.37,0.48,0.14,0.38
capture13_n3,0.5,0.1,0.4,0.49,0.15,0.37,0.49,0.14,0.37,0.48,0.14,0.38
capture13_n4,0.48,0.1,0.42,0.47,0.15,0.38,0.47,0.14,0.39,0.46,0.14,0.4
capture13_n5,0.49,0.1,0.41,0.48,0.14,0.37,0.48,0.14,0.38,0.47,0.14,0.39
capture16_b10,0.47,0.11,0.42,0.47,0.15,0.38,0.46,0.15,0.39,0.46,0.15,0.4
capture16_b1,0.52,0.1,0.38,0.51,0.14,0.36,0.5,0.14,0.36,0.5,0.13,0.37
capture16_b2,0.38,0.11,0.51,0.38,0.17,0.45,0.38,0.16,0.46,0.37,0.16,0.47
capture16_b6,0.38,0.11,0.51,0.38,0.17,0.46,0.37,0.17,0.46,0.36,0.16,0.48
capture16_b7,0.46,0.11,0.43,0.46,0.16,0.39,0.45,0.15,0.39,0.45,0.15,0.4
capture16_g1,0.47,0.11,0.43,0.46,0.15,0.39,0.46,0.15,0.39,0.45,0.15,0.4
capture16_g5,0.5,0.1,0.4,0.49,0.14,0.37,0.49,0.14,0.37,0.48,0.14,0.38
capture16_g6,0.51,0.1,0.4,0.5,0.14,0.37,0.49,0.14,0.37,0.49,0.13,0.38
capture16_g7,0.49,0.1,0.41,0.48,0.14,0.39,0.47,0.14,0.39,0.47,0.13,0.4
capture16_g8,0.51,0.09,0.4,0.5,0.13,0.36,0.5,0.13,0.37,0.49,0.13,0.38
capture16_k1,0.49,0.11,0.4,0.48,0.15,0.37,0.48,0.15,0.37,0.47,0.15,0.38
capture16_k2,0.41,0.11,0.48,0.4,0.17,0.43,0.4,0.16,0.44,0.39,0.16,0.45
capture16_k3,0.49,0.1,0.4,0.49,0.15,0.36,0.49,0.15,0.37,0.48,0.14,0.38
capture16_k5,0.46,0.11,0.43,0.46,0.16,0.39,0.45,0.15,0.39,0.44,0.15,0.41
capture16_k8,0.39,0.11,0.5,0.38,0.17,0.45,0.38,0.16,0.46,0.37,0.16,0.47
capture16_m1,0.47,0.1,0.43,0.47,0.14,0.39,0.46,0.14,0.4,0.46,0.14,0.41
capture16_m3,0.5,0.11,0.4,0.49,0.15,0.36,0.49,0.15,0.36,0.48,0.15,0.37
capture16_m5,0.46,0.11,0.44,0.45,0.16,0.4,0.45,0.15,0.4,0.44,0.15,0.41
capture16_m7,0.5,0.11,0.4,0.49,0.15,0.36,0.48,0.15,0.37,0.48,0.15,0.38
capture16_m9,0.5,0.11,0.4,0.49,0.15,0.36,0.49,0.15,0.37,0.48,0.14,0.38
capture16_n1,0.51,0.11,0.39,0.5,0.15,0.35,0.5,0.15,0.36,0.49,0.14,0.37
capture16_n2,0.5,0.1,0.4,0.5,0.15,0.36,0.49,0.14,0.36,0.49,0.14,0.37
capture16_n3,0.51,0.1,0.39,0.5,0.15,0.35,0.5,0.15,0.36,0.49,0.14,0.37
capture16_n4,0.49,0.11,0.4,0.49,0.15,0.36,0.48,0.15,0.37,0.48,0.14,0.38
capture16_n5,0.5,0.1,0.4,0.5,0.15,0.36,0.49,0.14,0.37,0.48,0.14,0.37
